id,airport_name,city_name,country,iata_code,icao_code,latitude,longitude,type,scheduled_service,source
30666,Alroy Downs Airport,Alroy Downs,Australia,AYD,,-19.2908,136.078995,small_airport,no,OurAirports
30808,Baniyala Airport,Baniyala,Australia,BYX,,-13.1981,136.227005,small_airport,no,OurAirports
30841,Coolibah Airport,Coolibah,Australia,COB,,-15.548299789428711,130.96200561523438,small_airport,no,OurAirports
30851,Coorabie Airport,Coorabie,Australia,CRJ,,-31.894399642944336,132.29600524902344,small_airport,no,OurAirports
30853,Carlton Hill Airport,Carlton Hill,Australia,CRY,,-15.501899719238281,128.53399658203125,small_airport,no,OurAirports
30855,Cresswell Downs Airport,Cresswell Downs,Australia,CSD,,-17.947999954223633,135.91600036621094,small_airport,no,OurAirports
30959,Diamantina Lakes Airport,Diamantina Lakes,Australia,DYM,,-23.761699676513672,141.14500427246094,small_airport,no,OurAirports
35302,Hayman Island Resort Seaplane Base,Hayman Island,Australia,HIS,,-20.059999465942383,148.88099670410156,seaplane_base,yes,OurAirports
31606,Helenvale Airport,Helenvale,Australia,HLV,,-15.685799598693848,145.21499633789062,small_airport,no,OurAirports
31723,Kimberley Downs Airport,Kimberley Downs,Australia,KBD,YKBS,-17.398577,124.355565,small_airport,no,OurAirports
31745,Kulgera Airport,Ghan,Australia,KGR,,-25.8428,133.292007,small_airport,no,OurAirports
32152,Peppimenarti Airport,Peppimenarti,Australia,PEP,,-14.1442,130.091003,small_airport,no,OurAirports
32201,Rockhampton Downs Airport,Rockhampton Downs,Australia,RDA,,-18.95330047607422,135.2010040283203,small_airport,no,OurAirports
32384,Sturt Creek Airport,Sturt Creek,Australia,SSK,,-19.166400909423828,128.1739959716797,small_airport,no,OurAirports
32401,Shaw River Airport,Shaw River,Australia,SWB,,-21.510299682617188,119.36199951171875,small_airport,no,OurAirports
32486,Torwood Airport,Torwood,Australia,TWP,,-17.363300323486328,143.75,small_airport,no,OurAirports
32752,Springvale Airport,Springvale,Australia,ZVG,,-17.7869,127.669998,small_airport,no,OurAirports
313134,Awar Airport (unusable),Awar,Papua New Guinea,AWR,,-4.122278,144.853292,small_airport,no,OurAirports
314558,Alxa Left Banner Bayanhot Airport,Bayanhot,China,AXF,ZBAL,38.748317,105.58416,medium_airport,yes,OurAirports
352222,Pantar Kabir Airport,Kabir,Indonesia,AXO,,-8.244832,124.219108,small_airport,no,OurAirports
301676,Ama Airport,,Papua New Guinea,AMF,AYAA,-4.10111111111,141.67,small_airport,no,OurAirports
301736,Mount Aue Airport,Aue,Papua New Guinea,UAE,AYAE,-6.229978,144.664181,small_airport,no,OurAirports
301665,Afore Airstrip,Afore,Papua New Guinea,AFR,AYAF,-9.13867,148.390701,small_airport,no,OurAirports
301668,Agaun Airport,Agaun,Papua New Guinea,AUP,AYAG,-9.927715,149.389951,small_airport,no,OurAirports
301672,Aitape Airport,Aitape,Papua New Guinea,ATP,AYAI,-3.143611,142.346806,small_airport,no,OurAirports
301654,Aiambak Airport,Aiambak,Papua New Guinea,AIH,AYAK,-7.342777777779999,141.2675,small_airport,no,OurAirports
301689,Amanab Airport,Amanab,Papua New Guinea,AMU,AYAM,-3.586,141.214333333,small_airport,no,OurAirports
301695,Andakombe Airport,Andekombe,Papua New Guinea,ADC,AYAN,-7.13722222222,145.744722222,small_airport,no,OurAirports
46170,Aiome Airport,Aiome,Papua New Guinea,AIE,AYAO,-5.145699978,144.7307003,small_airport,no,OurAirports
307980,Kompiam Airport,,Papua New Guinea,KPM,AYAQ,-5.38166666667,143.924722222,small_airport,no,OurAirports
301693,Ambunti Airport,Ambunti,Papua New Guinea,AUJ,AYAT,-4.21566666667,142.823166667,small_airport,no,OurAirports
42763,Awaba Airport,Awaba,Papua New Guinea,AWB,AYAW,-8.013414,142.752099,small_airport,no,OurAirports
